Company Name,Job Title,Job Description,Job Date,Scraping data from page
People FOCO,Sales & Marketing Executive,We are a HR Consultancy firm that is very passionate about people and their contribution towards the growth and success of any organization. We create systems that are streamlined towards the attainme...,08 June,
Koko Networks,Data Analyst,"This company was formerly known as SmartCook Energy. Last-mile energy networks for Africa's cities. Smarter commerce for urban Africa.
Unique rich media delivery platforms.
Our mission is to im...",08 June,
Strathmore University,Financial Aid Accountant,"Strathmore University is a Chartered University located in Nairobi, Kenya. It was the first multiracial and multi religious educational institution in English speaking Eastern Africa and more recently...",08 June,
Urgent Action Fund-Africa,Finance & Operations Manager,"Urgent Action Fund-Africa provides rapid response grants and technical support to women’s rights organisations,
women's human rights defenders and activists who identify strategic and time sensitive
opportunities to advance women's rights in Africa.",08 June,2.0
Old Mutual Kenya,Investment Analyst,"Old Mutual Kenya is based in Nairobi and is part of a larger group that offers solutions in long-term savings, asset management and investment. We offer solutions to individuals and corporates underpi...",08 June,2.0
Kempinski Hotels,Director of Sales and Marketing,Kempinski Hotels S.A. is Europe's oldest luxury hotel group. The group now has its head office in Geneva but was founded in Berlin in 1897 as the 'Hotelbetriebs-Aktiengesellschaft'.,08 June,2.0
DeRisk Technologies,Data Centre Engineer (On Demand model),"We deliver Global IT-enabled business process, application service and infrastructure solutions to fit the business outcomes you desire. Our IT services includes a 24/7 365 days support and managed se...",07 June,3.0
AstraZeneca,Marketing Manager Primary Care SSA,"AstraZeneca is a global, science-led biopharmaceutical company that spans the discovery, development, manufacturing, distribution and worldwide commercialisation of primary care and speciality care me...",07 June,4.0
Deloitte Consulting,Risk Advisory Intern - French Speaking,"Deloitte Consulting is a leading provider of innovative development solutions to U.S. and international donors, foundations, governments, and Fortune 500 companies. With member firm presence in more t...",07 June,4.0
Wasoko,Senior CX and Digital Marketing,"Wasoko is transforming communities across Africa by revolutionizing access to essential goods and services. By connecting small shops to the digital economy, we fix inefficient supply chains and provi...",07 June,4.0
MicroSave Consulting (MSC),Manager - Banking and Financial Services,"MicroSave Consulting (MSC) is a boutique consulting firm that has, for 20 years, pushed the world towards meaningful financial, social, and economic inclusion. With 11 offices around the globe, about...",07 June,5.0
World Bank Group,Investment Officer,The World Bank Group (WBG) is a family of five international organizations that make leveraged loans to developing countries. It is the largest and most famous development bank in the world and is an...,07 June,5.0
CIC Insurance,Credit Control Assistant,"CIC Insurance Group Limited, commonly referred to as CIC Group, is an insurance and investment group that operates mainly in Kenya, Uganda, South Sudan and Malawi",06 June,6.0
BFA (Bankable Frontier Associates),"Consultant, Financial Services","Founded in 2006, BFA is a global consulting firm specializing in financial services for low-income people. We partner with cutting-edge organizations that touch the lives of low-income consumers such...",06 June,6.0
The African Academy of Sciences (AAS),Human Resources & Operations Officer,"The AAS is a pan African organisation headquartered in Kenya, which aims to drive sustainable development in Africa through science technology and innovation.
it has a tripartite mandate of pursuing...",06 June,6.0
Ital Global,Financial Advisor,We are a comprehensive Human Capital Consultancy firm dedicated to helping organizations just like yours with their HR activities and work. We believe in creating productive and fruitful relationships...,06 June,6.0
Chemonics International,Deputy Chief of Party-Operations Sudan Transition Program,"At Chemonics, we believe our mission of helping people live healthier, more productive, and more independent lives is driven by our commitment to service-service to our mission, to our beneficiaries,...",06 June,8.0
Bolt,"Regional Manager, International Markets","Bolt, previously known as Taxify, is the leading European transportation platform providing ride-hailing and scooter sharing services. The company’s mission is to make urban travel easier, quicker and more reliable",05 June,9.0
IQVIA,"Manager, Statistical Programming","IQVIA, formerly Quintiles and IMS Health, Inc.,is an American multinational company serving the combined industries of health information technology and clinical research. It is a provider of biopharm...",05 June,10.0
HCS Africa,Senior Accountant-Credit Control,"The name HCS Africa is derived from carefully selected words: 'Human’, referring to our people-oriented approach, 'Capital’, referring to our commitment of increase in profit, and 'Synergi...",05 June,10.0
